Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh),timestamp,delivery_date,scraped_at_UTC,market
03-10-2025,24,23:30 - 23:45,8091.3,15470.5,5700.9,5700.9,2950.73,2025-10-03 23:30:00,2025-10-03,2025-12-26T16:25:53Z,DAM
03-10-2025,24,23:45 - 24:00,8043.6,15499.5,5634.1,5634.1,2889.85,2025-10-03 23:45:00,2025-10-03,2025-12-26T16:25:53Z,DAM
04-10-2025,1,00:00 - 00:15,8168.0,17101.1,5426.9,5426.9,2889.5,2025-10-04 00:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,1,00:15 - 00:30,8076.0,16792.7,5246.0,5246.0,2889.39,2025-10-04 00:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,1,00:30 - 00:45,7515.4,16850.9,4955.0,4955.0,2750.54,2025-10-04 00:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,1,00:45 - 01:00,7330.4,16956.7,4792.3,4792.3,2749.05,2025-10-04 00:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,2,01:00 - 01:15,7540.3,18493.5,5095.9,5095.9,2749.19,2025-10-04 01:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,2,01:15 - 01:30,7220.1,18694.7,5072.0,5072.0,2401.05,2025-10-04 01:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,2,01:30 - 01:45,8047.5,19903.6,5646.6,5646.6,2749.01,2025-10-04 01:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,2,01:45 - 02:00,8032.8,20216.1,5609.0,5609.0,2401.54,2025-10-04 01:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,3,02:00 - 02:15,7814.6,20181.6,5433.9,5433.9,2401.17,2025-10-04 02:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,3,02:15 - 02:30,7834.6,19971.5,5416.8,5416.8,2401.9,2025-10-04 02:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,3,02:30 - 02:45,7918.0,19377.3,5415.1,5415.1,2499.99,2025-10-04 02:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,3,02:45 - 03:00,7877.0,18955.9,5483.4,5483.4,2466.34,2025-10-04 02:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,4,03:00 - 03:15,8396.8,19179.4,5844.3,5844.3,2590.37,2025-10-04 03:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,4,03:15 - 03:30,8565.0,19133.0,5858.9,5858.9,2620.02,2025-10-04 03:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,4,03:30 - 03:45,8914.0,19246.6,5876.3,5876.3,2626.1,2025-10-04 03:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,4,03:45 - 04:00,9043.7,19351.9,5889.6,5889.6,2627.07,2025-10-04 03:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,5,04:00 - 04:15,8888.0,19134.2,5858.6,5858.6,2625.95,2025-10-04 04:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,5,04:15 - 04:30,8945.8,18968.4,5919.1,5919.1,2626.0,2025-10-04 04:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,5,04:30 - 04:45,8984.0,18655.5,5890.5,5890.5,2626.6,2025-10-04 04:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,5,04:45 - 05:00,9165.5,18380.9,5889.2,5889.2,2628.08,2025-10-04 04:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,6,05:00 - 05:15,9358.6,16609.2,5629.2,5629.2,2651.78,2025-10-04 05:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,6,05:15 - 05:30,9427.6,16426.8,5578.8,5578.8,2703.44,2025-10-04 05:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,6,05:30 - 05:45,9631.6,16237.5,5536.1,5536.1,2719.05,2025-10-04 05:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,6,05:45 - 06:00,9780.6,16725.0,5595.8,5595.8,2717.61,2025-10-04 05:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,7,06:00 - 06:15,10412.4,18063.4,6222.6,6222.6,3188.34,2025-10-04 06:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,7,06:15 - 06:30,11458.3,20270.5,7140.1,7140.1,3188.9,2025-10-04 06:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,7,06:30 - 06:45,11547.4,21116.3,7247.9,7247.9,3188.84,2025-10-04 06:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,7,06:45 - 07:00,11205.5,22119.6,6940.6,6940.6,3188.13,2025-10-04 06:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,8,07:00 - 07:15,9937.6,22994.6,6458.6,6458.6,3188.44,2025-10-04 07:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,8,07:15 - 07:30,8782.8,24536.7,5671.0,5671.0,2800.74,2025-10-04 07:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,8,07:30 - 07:45,7010.7,27382.6,5964.9,5964.9,2299.71,2025-10-04 07:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,8,07:45 - 08:00,5914.7,29363.6,5100.6,5100.6,1869.17,2025-10-04 07:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,9,08:00 - 08:15,5228.7,32927.5,4230.3,4230.3,1749.68,2025-10-04 08:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,9,08:15 - 08:30,5242.8,34237.0,4273.8,4273.8,1740.38,2025-10-04 08:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,9,08:30 - 08:45,4932.0,36879.7,4154.9,4154.9,1102.09,2025-10-04 08:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,9,08:45 - 09:00,4552.4,38251.3,3769.0,3769.0,1153.82,2025-10-04 08:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,10,09:00 - 09:15,4094.4,39116.0,3316.1,3316.1,1171.87,2025-10-04 09:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,10,09:15 - 09:30,3843.5,39513.8,3194.8,3194.8,996.57,2025-10-04 09:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,10,09:30 - 09:45,3919.4,40669.6,3295.7,3295.7,996.68,2025-10-04 09:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,10,09:45 - 10:00,4002.9,41058.1,3379.2,3379.2,999.18,2025-10-04 09:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,11,10:00 - 10:15,3578.0,42427.2,2985.18,2985.18,499.4,2025-10-04 10:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,11,10:15 - 10:30,3768.0,43179.9,3130.5,3130.5,996.73,2025-10-04 10:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,11,10:30 - 10:45,4061.8,43871.5,3256.6,3256.6,1186.27,2025-10-04 10:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,11,10:45 - 11:00,4255.3,44304.3,3449.7,3449.7,1323.06,2025-10-04 10:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,12,11:00 - 11:15,4241.5,43944.0,3346.5,3346.5,1238.58,2025-10-04 11:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,12,11:15 - 11:30,4244.6,44254.7,3371.1,3371.1,1281.6,2025-10-04 11:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,12,11:30 - 11:45,4304.4,42786.8,3453.6,3453.6,1323.24,2025-10-04 11:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,12,11:45 - 12:00,4385.0,42664.4,3330.8,3330.8,1238.04,2025-10-04 11:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,13,12:00 - 12:15,4551.7,43178.3,3494.7,3494.7,1319.73,2025-10-04 12:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
