state,consumer_category,sub-category,supply_voltage_category,supply_voltage,month,tod_start_time,tod_end_time,base_energy_rate,base_energy_unit,tod_charge_percent,energy_rate
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202609,10:00,19:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202609,19:00,3:00,8.165,kVAh,15,9.38975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202609,3:00,5:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202610,5:00,11:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202610,11:00,17:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202610,17:00,23:00,8.165,kVAh,15,9.38975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202610,23:00,5:00,6.035,kVAh,-15,5.12975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202611,5:00,11:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202611,11:00,17:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202611,17:00,23:00,8.165,kVAh,15,9.38975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202611,23:00,5:00,6.035,kVAh,-15,5.12975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202612,5:00,11:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202612,11:00,17:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202612,17:00,23:00,8.165,kVAh,15,9.38975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202612,23:00,5:00,6.035,kVAh,-15,5.12975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202701,5:00,11:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202701,11:00,17:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202701,17:00,23:00,8.165,kVAh,15,9.38975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202701,23:00,5:00,6.035,kVAh,-15,5.12975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202702,5:00,11:00,7.1,kVAh,0,7.1
